"phenotype" "Phenotype Description" "variable_type" "source" "n_non_missing" "n_missing" "n_controls" "n_cases"
"20001_1001" "Cancer code, self-reported: lung cancer" "binary" "phesant" 361141 53 360938 203
"20001_1003" "Cancer code, self-reported: skin cancer" "binary" "phesant" 361141 53 360016 1125
"20001_1006" "Cancer code, self-reported: larynx/throat cancer" "binary" "phesant" 361141 53 360860 281
"20001_1011" "Cancer code, self-reported: tongue cancer" "binary" "phesant" 361141 53 361018 123
"20001_1017" "Cancer code, self-reported: oesophageal cancer" "binary" "phesant" 361141 53 360979 162
"20001_1018" "Cancer code, self-reported: stomach cancer" "binary" "phesant" 361141 53 361008 133
"20001_1019" "Cancer code, self-reported: small intestine/small bowel cancer" "binary" "phesant" 361141 53 360978 163
"20001_1020" "Cancer code, self-reported: large bowel cancer/colorectal cancer" "binary" "phesant" 361141 53 360631 510
"20001_1022" "Cancer code, self-reported: colon cancer/sigmoid cancer" "binary" "phesant" 361141 53 359927 1214
"20001_1023" "Cancer code, self-reported: rectal cancer" "binary" "phesant" 361141 53 360869 272
"20001_1024" "Cancer code, self-reported: liver/hepatocellular cancer" "binary" "phesant" 361141 53 361003 138
"20001_1030" "Cancer code, self-reported: eye and/or adnexal cancer" "binary" "phesant" 361141 53 361032 109
"20001_1032" "Cancer code, self-reported: brain cancer / primary malignant brain tumour" "binary" "phesant" 361141 53 360969 172
"20001_1034" "Cancer code, self-reported: kidney/renal cell cancer" "binary" "phesant" 361141 53 360668 473
"20001_1035" "Cancer code, self-reported: bladder cancer" "binary" "phesant" 361141 53 360298 843
"20001_1048" "Cancer code, self-reported: leukaemia" "binary" "phesant" 361141 53 360972 169
"20001_1050" "Cancer code, self-reported: multiple myeloma" "binary" "phesant" 361141 53 361016 125
"20001_1052" "Cancer code, self-reported: hodgkins lymphoma / hodgkins disease" "binary" "phesant" 361141 53 360781 360
"20001_1053" "Cancer code, self-reported: non-hodgkins lymphoma" "binary" "phesant" 361141 53 360457 684
"20001_1055" "Cancer code, self-reported: chronic lymphocytic" "binary" "phesant" 361141 53 360904 237
"20001_1059" "Cancer code, self-reported: malignant melanoma" "binary" "phesant" 361141 53 358243 2898
"20001_1060" "Cancer code, self-reported: non-melanoma skin cancer" "binary" "phesant" 361141 53 360599 542
"20001_1061" "Cancer code, self-reported: basal cell carcinoma" "binary" "phesant" 361141 53 357700 3441
"20001_1062" "Cancer code, self-reported: squamous cell carcinoma" "binary" "phesant" 361141 53 360692 449
"20001_1063" "Cancer code, self-reported: primary bone cancer" "binary" "phesant" 361141 53 361030 111
"20001_1065" "Cancer code, self-reported: thyroid cancer" "binary" "phesant" 361141 53 360802 339
"20001_1068" "Cancer code, self-reported: sarcoma/fibrosarcoma" "binary" "phesant" 361141 53 360945 196
"20001_1073" "Cancer code, self-reported: rodent ulcer" "binary" "phesant" 361141 53 360622 519
"20001_99999" "Cancer code, self-reported: unclassifiable" "binary" "phesant" 361141 53 360736 405
"20002_1065" "Non-cancer illness code, self-reported: hypertension" "binary" "phesant" 361141 53 267581 93560
"20002_1066" "Non-cancer illness code, self-reported: heart/cardiac problem" "binary" "phesant" 361141 53 359965 1176
"20002_1067" "Non-cancer illness code, self-reported: peripheral vascular disease" "binary" "phesant" 361141 53 360477 664
"20002_1072" "Non-cancer illness code, self-reported: essential hypertension" "binary" "phesant" 361141 53 359483 1658
"20002_1074" "Non-cancer illness code, self-reported: angina" "binary" "phesant" 361141 53 349771 11370
"20002_1075" "Non-cancer illness code, self-reported: heart attack/myocardial infarction" "binary" "phesant" 361141 53 352902 8239
"20002_1076" "Non-cancer illness code, self-reported: heart failure/pulmonary odema" "binary" "phesant" 361141 53 360894 247
"20002_1077" "Non-cancer illness code, self-reported: heart arrhythmia" "binary" "phesant" 361141 53 359128 2013
"20002_1078" "Non-cancer illness code, self-reported: heart valve problem/heart murmur" "binary" "phesant" 361141 53 358688 2453
"20002_1079" "Non-cancer illness code, self-reported: cardiomyopathy" "binary" "phesant" 361141 53 360830 311
"20002_1080" "Non-cancer illness code, self-reported: pericardial problem" "binary" "phesant" 361141 53 360939 202
"20002_1081" "Non-cancer illness code, self-reported: stroke" "binary" "phesant" 361141 53 356305 4836
"20002_1082" "Non-cancer illness code, self-reported: transient ischaemic attack (tia)" "binary" "phesant" 361141 53 359772 1369
"20002_1083" "Non-cancer illness code, self-reported: subdural haemorrhage/haematoma" "binary" "phesant" 361141 53 360987 154
"20002_1086" "Non-cancer illness code, self-reported: subarachnoid haemorrhage" "binary" "phesant" 361141 53 360804 337
"20002_1087" "Non-cancer illness code, self-reported: leg claudication/ intermittent claudication" "binary" "phesant" 361141 53 360864 277
"20002_1093" "Non-cancer illness code, self-reported: pulmonary embolism +/- dvt" "binary" "phesant" 361141 53 358142 2999
"20002_1094" "Non-cancer illness code, self-reported: deep venous thrombosis (dvt)" "binary" "phesant" 361141 53 353904 7237
"20002_1111" "Non-cancer illness code, self-reported: asthma" "binary" "phesant" 361141 53 319207 41934
"20002_1112" "Non-cancer illness code, self-reported: chronic obstructive airways disease/copd" "binary" "phesant" 361141 53 359856 1285
"20002_1113" "Non-cancer illness code, self-reported: emphysema/chronic bronchitis" "binary" "phesant" 361141 53 356110 5031
"20002_1114" "Non-cancer illness code, self-reported: bronchiectasis" "binary" "phesant" 361141 53 360265 876
"20002_1115" "Non-cancer illness code, self-reported: interstitial lung disease" "binary" "phesant" 361141 53 361020 121
"20002_1117" "Non-cancer illness code, self-reported: other respiratory problems" "binary" "phesant" 361141 53 360513 628
"20002_1120" "Non-cancer illness code, self-reported: asbestosis" "binary" "phesant" 361141 53 360991 150
"20002_1123" "Non-cancer illness code, self-reported: sleep apnoea" "binary" "phesant" 361141 53 359978 1163
"20002_1125" "Non-cancer illness code, self-reported: pleurisy" "binary" "phesant" 361141 53 359921 1220
"20002_1126" "Non-cancer illness code, self-reported: spontaneous pneumothorax/recurrent pneumothorax" "binary" "phesant" 361141 53 360270 871
"20002_1134" "Non-cancer illness code, self-reported: oesophageal disorder" "binary" "phesant" 361141 53 360922 219
"20002_1135" "Non-cancer illness code, self-reported: stomach disorder" "binary" "phesant" 361141 53 360362 779
"20002_1136" "Non-cancer illness code, self-reported: liver/biliary/pancreas problem" "binary" "phesant" 361141 53 360506 635
"20002_1137" "Non-cancer illness code, self-reported: other abdominal problem" "binary" "phesant" 361141 53 360719 422
"20002_1138" "Non-cancer illness code, self-reported: gastro-oesophageal reflux (gord) / gastric reflux" "binary" "phesant" 361141 53 345931 15210
"20002_1139" "Non-cancer illness code, self-reported: oesophagitis/barretts oesophagus" "binary" "phesant" 361141 53 359997 1144
"20002_1142" "Non-cancer illness code, self-reported: gastric/stomach ulcers" "binary" "phesant" 361141 53 358579 2562
"20002_1143" "Non-cancer illness code, self-reported: gastritis/gastric erosions" "binary" "phesant" 361141 53 360575 566
"20002_1154" "Non-cancer illness code, self-reported: irritable bowel syndrome" "binary" "phesant" 361141 53 352604 8537
"20002_1155" "Non-cancer illness code, self-reported: hepatitis" "binary" "phesant" 361141 53 360745 396
"20002_1156" "Non-cancer illness code, self-reported: infective/viral hepatitis" "binary" "phesant" 361141 53 360373 768
"20002_1157" "Non-cancer illness code, self-reported: non-infective hepatitis" "binary" "phesant" 361141 53 360767 374
"20002_1158" "Non-cancer illness code, self-reported: liver failure/cirrhosis" "binary" "phesant" 361141 53 360877 264
"20002_1161" "Non-cancer illness code, self-reported: gall bladder disease" "binary" "phesant" 361141 53 360939 202
"20002_1162" "Non-cancer illness code, self-reported: cholelithiasis/gall stones" "binary" "phesant" 361141 53 355200 5941
"20002_1163" "Non-cancer illness code, self-reported: cholecystitis" "binary" "phesant" 361141 53 360760 381
"20002_1165" "Non-cancer illness code, self-reported: pancreatitis" "binary" "phesant" 361141 53 360364 777
"20002_1190" "Non-cancer illness code, self-reported: peritonitis" "binary" "phesant" 361141 53 359880 1261
"20002_1191" "Non-cancer illness code, self-reported: gastrointestinal bleeding" "binary" "phesant" 361141 53 360999 142
"20002_1192" "Non-cancer illness code, self-reported: renal/kidney failure" "binary" "phesant" 361141 53 360970 171
"20002_1193" "Non-cancer illness code, self-reported: renal failure requiring dialysis" "binary" "phesant" 361141 53 360960 181
"20002_1194" "Non-cancer illness code, self-reported: renal failure not requiring dialysis" "binary" "phesant" 361141 53 360846 295
"20002_1196" "Non-cancer illness code, self-reported: urinary tract infection/kidney infection" "binary" "phesant" 361141 53 359443 1698
"20002_1197" "Non-cancer illness code, self-reported: kidney stone/ureter stone/bladder stone" "binary" "phesant" 361141 53 358278 2863
"20002_1200" "Non-cancer illness code, self-reported: ureteric obstruction/hydronephrosis" "binary" "phesant" 361141 53 360888 253
"20002_1201" "Non-cancer illness code, self-reported: bladder problem (not cancer)" "binary" "phesant" 361141 53 359001 2140
"20002_1202" "Non-cancer illness code, self-reported: urinary frequency / incontinence" "binary" "phesant" 361141 53 359889 1252
"20002_1220" "Non-cancer illness code, self-reported: diabetes" "binary" "phesant" 361141 53 347027 14114
"20002_1222" "Non-cancer illness code, self-reported: type 1 diabetes" "binary" "phesant" 361141 53 360823 318
"20002_1223" "Non-cancer illness code, self-reported: type 2 diabetes" "binary" "phesant" 361141 53 358849 2292
"20002_1224" "Non-cancer illness code, self-reported: thyroid problem (not cancer)" "binary" "phesant" 361141 53 360182 959
"20002_1225" "Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis" "binary" "phesant" 361141 53 358411 2730
"20002_1226" "Non-cancer illness code, self-reported: hypothyroidism/myxoedema" "binary" "phesant" 361141 53 343567 17574
"20002_1229" "Non-cancer illness code, self-reported: parathyroid gland problem (not cancer)" "binary" "phesant" 361141 53 361016 125
"20002_1234" "Non-cancer illness code, self-reported: adrenocortical insufficiency/addison's disease" "binary" "phesant" 361141 53 360983 158
"20002_1238" "Non-cancer illness code, self-reported: pituitary adenoma/tumour" "binary" "phesant" 361141 53 360904 237
"20002_1240" "Non-cancer illness code, self-reported: neurological injury/trauma" "binary" "phesant" 361141 53 361037 104
"20002_1242" "Non-cancer illness code, self-reported: eye/eyelid problem" "binary" "phesant" 361141 53 358301 2840
"20002_1243" "Non-cancer illness code, self-reported: psychological/psychiatric problem" "binary" "phesant" 361141 53 360778 363
"20002_1246" "Non-cancer illness code, self-reported: encephalitis" "binary" "phesant" 361141 53 360903 238
"20002_1247" "Non-cancer illness code, self-reported: meningitis" "binary" "phesant" 361141 53 359626 1515
"20002_1249" "Non-cancer illness code, self-reported: cranial nerve problem/palsy" "binary" "phesant" 361141 53 360909 232
